geoid,name,B12002001,"B12002001, Error",B12002002,"B12002002, Error",B12002003,"B12002003, Error",B12002004,"B12002004, Error",B12002005,"B12002005, Error",B12002006,"B12002006, Error",B12002007,"B12002007, Error",B12002008,"B12002008, Error",B12002009,"B12002009, Error",B12002010,"B12002010, Error",B12002011,"B12002011, Error",B12002012,"B12002012, Error",B12002013,"B12002013, Error",B12002014,"B12002014, Error",B12002015,"B12002015, Error",B12002016,"B12002016, Error",B12002017,"B12002017, Error",B12002018,"B12002018, Error",B12002019,"B12002019, Error",B12002020,"B12002020, Error",B12002021,"B12002021, Error",B12002022,"B12002022, Error",B12002023,"B12002023, Error",B12002024,"B12002024, Error",B12002025,"B12002025, Error",B12002026,"B12002026, Error",B12002027,"B12002027, Error",B12002028,"B12002028, Error",B12002029,"B12002029, Error",B12002030,"B12002030, Error",B12002031,"B12002031, Error",B12002032,"B12002032, Error",B12002033,"B12002033, Error",B12002034,"B12002034, Error",B12002035,"B12002035, Error",B12002036,"B12002036, Error",B12002037,"B12002037, Error",B12002038,"B12002038, Error",B12002039,"B12002039, Error",B12002040,"B12002040, Error",B12002041,"B12002041, Error",B12002042,"B12002042, Error",B12002043,"B12002043, Error",B12002044,"B12002044, Error",B12002045,"B12002045, Error",B12002046,"B12002046, Error",B12002047,"B12002047, Error",B12002048,"B12002048, Error",B12002049,"B12002049, Error",B12002050,"B12002050, Error",B12002051,"B12002051, Error",B12002052,"B12002052, Error",B12002053,"B12002053, Error",B12002054,"B12002054, Error",B12002055,"B12002055, Error",B12002056,"B12002056, Error",B12002057,"B12002057, Error",B12002058,"B12002058, Error",B12002059,"B12002059, Error",B12002060,"B12002060, Error",B12002061,"B12002061, Error",B12002062,"B12002062, Error",B12002063,"B12002063, Error",B12002064,"B12002064, Error",B12002065,"B12002065, Error",B12002066,"B12002066, Error",B12002067,"B12002067, Error",B12002068,"B12002068, Error",B12002069,"B12002069, Error",B12002070,"B12002070, Error",B12002071,"B12002071, Error",B12002072,"B12002072, Error",B12002073,"B12002073, Error",B12002074,"B12002074, Error",B12002075,"B12002075, Error",B12002076,"B12002076, Error",B12002077,"B12002077, Error",B12002078,"B12002078, Error",B12002079,"B12002079, Error",B12002080,"B12002080, Error",B12002081,"B12002081, Error",B12002082,"B12002082, Error",B12002083,"B12002083, Error",B12002084,"B12002084, Error",B12002085,"B12002085, Error",B12002086,"B12002086, Error",B12002087,"B12002087, Error",B12002088,"B12002088, Error",B12002089,"B12002089, Error",B12002090,"B12002090, Error",B12002091,"B12002091, Error",B12002092,"B12002092, Error",B12002093,"B12002093, Error",B12002094,"B12002094, Error",B12002095,"B12002095, Error",B12002096,"B12002096, Error",B12002097,"B12002097, Error",B12002098,"B12002098, Error",B12002099,"B12002099, Error",B12002100,"B12002100, Error",B12002101,"B12002101, Error",B12002102,"B12002102, Error",B12002103,"B12002103, Error",B12002104,"B12002104, Error",B12002105,"B12002105, Error",B12002106,"B12002106, Error",B12002107,"B12002107, Error",B12002108,"B12002108, Error",B12002109,"B12002109, Error",B12002110,"B12002110, Error",B12002111,"B12002111, Error",B12002112,"B12002112, Error",B12002113,"B12002113, Error",B12002114,"B12002114, Error",B12002115,"B12002115, Error",B12002116,"B12002116, Error",B12002117,"B12002117, Error",B12002118,"B12002118, Error",B12002119,"B12002119, Error",B12002120,"B12002120, Error",B12002121,"B12002121, Error",B12002122,"B12002122, Error",B12002123,"B12002123, Error",B12002124,"B12002124, Error",B12002125,"B12002125, Error",B12002126,"B12002126, Error",B12002127,"B12002127, Error",B12002128,"B12002128, Error",B12002129,"B12002129, Error",B12002130,"B12002130, Error",B12002131,"B12002131, Error",B12002132,"B12002132, Error",B12002133,"B12002133, Error",B12002134,"B12002134, Error",B12002135,"B12002135, Error",B12002136,"B12002136, Error",B12002137,"B12002137, Error",B12002138,"B12002138, Error",B12002139,"B12002139, Error",B12002140,"B12002140, Error",B12002141,"B12002141, Error",B12002142,"B12002142, Error",B12002143,"B12002143, Error",B12002144,"B12002144, Error",B12002145,"B12002145, Error",B12002146,"B12002146, Error",B12002147,"B12002147, Error",B12002148,"B12002148, Error",B12002149,"B12002149, Error",B12002150,"B12002150, Error",B12002151,"B12002151, Error",B12002152,"B12002152, Error",B12002153,"B12002153, Error",B12002154,"B12002154, Error",B12002155,"B12002155, Error",B12002156,"B12002156, Error",B12002157,"B12002157, Error",B12002158,"B12002158, Error",B12002159,"B12002159, Error",B12002160,"B12002160, Error",B12002161,"B12002161, Error",B12002162,"B12002162, Error",B12002163,"B12002163, Error",B12002164,"B12002164, Error",B12002165,"B12002165, Error",B12002166,"B12002166, Error",B12002167,"B12002167, Error",B12002168,"B12002168, Error",B12002169,"B12002169, Error",B12002170,"B12002170, Error",B12002171,"B12002171, Error",B12002172,"B12002172, Error",B12002173,"B12002173, Error",B12002174,"B12002174, Error",B12002175,"B12002175, Error",B12002176,"B12002176, Error",B12002177,"B12002177, Error",B12002178,"B12002178, Error",B12002179,"B12002179, Error",B12002180,"B12002180, Error",B12002181,"B12002181, Error",B12002182,"B12002182, Error",B12002183,"B12002183, Error",B12002184,"B12002184, Error",B12002185,"B12002185, Error",B12002186,"B12002186, Error",B12002187,"B12002187, Error"
14000US32001950100,"Census Tract 9501, Churchill, NV",1864,233,1067,160,400,121,34,30,62,50,119,70,74,41,13,16,38,41,1,2,6,10,0,13,0,13,34,34,0,13,0,13,19,27,482,81,394,76,0,13,0,13,16,24,0,13,29,23,49,40,31,30,26,21,31,26,60,38,31,26,94,42,27,22,0,13,88,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,88,32,0,13,6,13,26,19,0,13,23,14,7,8,8,12,3,6,11,14,0,13,0,13,0,13,0,13,4,7,73,46,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,12,20,33,6,9,40,31,112,57,0,13,0,13,0,13,6,12,6,11,3,6,7,11,6,10,27,37,9,14,36,35,12,16,0,13,0,13,797,113,163,76,25,32,22,21,35,32,38,34,16,19,0,13,0,13,0,13,8,12,0,13,0,13,19,29,0,13,0,13,457,90,410,86,4,7,0,13,14,20,7,13,103,53,49,38,0,13,34,28,53,34,8,14,51,22,70,35,17,15,0,13,47,46,28,40,0,13,0,13,0,13,4,8,24,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,21,0,13,0,13,4,7,0,13,0,13,7,11,0,13,0,13,0,13,0,13,4,10,4,7,0,13,0,13,78,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,15,0,13,11,12,16,23,33,29,9,15,99,55,0,13,0,13,0,13,2,5,0,13,0,13,0,13,17,24,0,13,33,35,14,14,17,16,0,13,16,29
14000US32001950301,"Census Tract 9503.01, Churchill, NV",3609,465,1802,292,716,237,79,64,14,18,222,182,121,92,53,67,75,59,27,46,16,29,0,13,59,62,31,37,15,15,4,10,0,13,693,219,517,186,0,13,11,20,0,13,40,48,78,81,33,51,14,21,106,79,3,5,21,24,20,24,124,83,67,54,0,13,176,106,98,81,0,13,0,13,61,65,0,13,11,18,0,13,0,13,0,13,0,13,0,13,26,42,0,13,0,13,0,13,78,51,5,9,0,13,0,13,0,13,51,44,0,13,5,8,0,13,0,13,0,13,15,25,2,3,0,13,0,13,40,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,32,0,13,9,14,0,13,353,165,0,13,0,13,0,13,30,41,15,28,0,13,0,13,54,36,39,37,0,13,169,147,29,29,17,24,0,13,1807,264,385,153,46,37,25,30,127,105,93,68,0,13,33,33,10,16,0,13,17,26,0,13,2,4,20,16,8,12,4,10,745,205,546,211,0,13,0,13,28,47,31,44,96,73,7,12,15,16,78,80,43,47,39,36,22,28,173,95,14,18,0,13,199,115,95,74,0,13,0,13,0,13,17,27,0,13,10,16,5,9,0,13,30,47,33,51,0,13,0,13,0,13,0,13,104,83,0,13,5,9,0,13,51,62,5,9,0,13,38,52,0,13,0,13,0,13,0,13,1,4,4,9,0,13,323,155,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,4,21,33,0,13,147,127,125,89,28,24,354,137,0,13,0,13,0,13,0,13,23,35,14,23,6,11,64,55,0,13,61,53,111,96,30,24,45,42,0,13
14000US32001950302,"Census Tract 9503.02, Churchill, NV",3987,379,2061,309,745,269,26,47,30,52,90,64,259,181,116,86,69,79,4,7,0,19,76,84,52,57,0,19,23,35,0,19,0,19,844,232,739,235,0,19,0,19,0,19,33,65,47,49,48,70,140,145,27,43,85,78,166,100,43,44,108,53,42,41,0,19,105,114,8,15,0,19,0,19,0,19,0,19,4,8,0,19,0,19,0,19,0,19,4,8,0,19,0,19,0,19,0,19,97,112,0,19,0,19,0,19,0,19,0,19,0,19,41,60,33,47,0,19,4,8,0,19,0,19,19,29,0,19,19,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,19,30,0,19,0,19,453,201,0,19,0,19,0,19,52,57,74,59,0,19,26,37,35,36,79,93,59,62,13,24,47,49,0,19,68,99,1926,233,666,225,92,81,17,29,242,135,146,103,63,73,53,47,16,27,21,39,0,19,0,19,0,19,0,19,16,24,0,19,865,209,759,223,0,19,0,19,0,19,57,86,54,66,21,38,91,98,188,127,44,48,117,88,91,80,74,51,22,32,0,19,106,110,32,42,0,19,0,19,0,19,0,19,0,19,20,38,0,19,0,19,12,21,0,19,0,19,0,19,0,19,0,19,74,103,0,19,0,19,0,19,62,100,4,8,4,9,4,9,0,19,0,19,0,19,0,19,0,19,0,19,0,19,117,89,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,63,67,0,19,0,19,39,33,15,25,278,124,0,19,0,19,30,37,0,19,0,19,21,38,22,44,14,26,66,55,21,30,0,19,104,70,0,19,0,19
14000US32001950400,"Census Tract 9504, Churchill, NV",535,251,355,183,185,123,0,13,115,116,53,34,12,13,0,13,5,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,164,80,134,72,0,13,0,13,43,49,21,18,12,14,58,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,39,0,13,2,5,1,5,0,13,10,15,0,13,13,25,2,4,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,13,0,13,0,13,0,13,0,13,0,13,6,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,180,89,28,21,0,13,6,13,9,14,1,5,12,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,152,86,148,86,0,13,0,13,39,42,38,28,0,13,71,76,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,7,2,5,0,13,0,13,0,13,2,5,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,4,0,13,0,13,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US32001950500,"Census Tract 9505, Churchill, NV",1147,148,606,98,220,61,29,12,24,19,70,35,12,10,16,13,30,21,15,14,5,7,7,7,3,4,5,10,4,5,0,13,0,13,233,59,222,56,0,13,0,13,0,13,0,13,8,10,16,21,19,15,4,9,38,29,41,25,25,15,54,27,16,14,1,3,11,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,11,0,13,0,13,0,13,0,13,0,13,0,13,8,10,0,13,0,13,0,13,3,5,0,13,0,13,0,13,19,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,4,0,13,0,13,11,12,6,5,134,45,0,13,0,13,0,13,5,9,1,2,32,23,12,16,6,7,14,12,10,10,24,27,10,11,20,23,0,13,541,95,89,30,16,7,3,5,9,8,9,12,24,17,10,8,7,9,0,13,1,3,2,3,0,13,8,10,0,13,0,13,227,57,215,52,0,13,0,13,0,13,6,8,8,9,25,15,2,3,31,23,17,13,41,23,20,16,52,32,11,13,2,4,12,12,8,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,3,7,9,0,13,0,13,0,13,0,13,4,5,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,4,0,13,0,13,0,13,3,3,0,13,0,13,87,42,0,13,0,13,0,13,0,13,0,13,5,7,0,13,0,13,0,13,2,4,4,5,48,40,24,16,4,10,138,42,0,13,0,13,0,13,2,3,17,21,9,8,14,12,3,4,8,9,15,11,26,14,24,15,2,3,18,22
14000US32001950600,"Census Tract 9506, Churchill, NV",4069,422,1813,253,343,127,18,19,22,35,130,94,35,43,46,58,13,22,33,29,0,19,8,14,0,19,0,19,11,18,0,19,27,46,1284,189,1222,191,0,19,0,19,22,42,30,33,51,51,105,66,66,64,120,69,118,58,167,107,87,83,312,122,122,70,22,33,62,59,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,62,59,0,19,0,19,0,19,0,19,0,19,0,19,0,19,14,24,0,19,0,19,0,19,6,10,42,49,0,19,42,44,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,24,31,18,30,0,19,144,96,0,19,0,19,0,19,0,19,0,19,25,38,12,20,7,12,0,19,8,13,27,45,65,81,0,19,0,19,2256,275,325,107,168,70,46,63,54,51,0,19,30,40,0,19,0,19,0,19,2,21,8,15,0,19,17,28,0,19,0,19,1439,241,1330,186,0,19,0,19,0,19,72,58,133,86,72,50,164,95,109,61,157,66,141,101,107,67,322,111,34,35,19,31,109,130,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,109,130,0,19,0,19,0,19,0,19,0,19,75,127,34,26,0,19,0,19,0,19,0,19,0,19,0,19,0,19,149,93,0,19,0,19,0,19,0,19,0,19,16,29,0,19,12,19,0,19,9,15,22,29,62,74,0,19,28,41,343,211,0,19,0,19,0,19,0,19,0,19,17,18,0,19,36,50,0,19,145,183,0,19,0,19,126,106,19,32
14000US32001950700,"Census Tract 9507, Churchill, NV",5103,498,2690,331,847,225,202,69,74,75,153,127,36,40,95,84,88,80,59,89,126,109,0,19,0,19,14,25,0,19,0,19,0,19,1451,260,1380,251,0,19,0,19,0,19,24,32,46,61,28,47,149,84,99,72,255,152,186,116,206,123,232,116,102,61,53,47,71,73,23,30,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,14,0,19,15,26,0,19,0,19,0,19,0,19,48,70,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,48,70,0,19,0,19,0,19,0,19,0,19,38,42,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,17,28,21,34,0,19,354,184,0,19,23,33,0,19,40,47,0,19,25,39,0,19,0,19,0,19,18,29,19,30,213,164,16,25,0,19,2413,309,510,219,111,106,23,40,168,101,40,41,0,19,33,46,87,122,0,19,0,19,21,34,0,19,27,32,0,19,0,19,1295,243,1295,243,0,19,0,19,0,19,38,48,74,79,25,35,228,92,58,58,256,161,190,103,148,91,187,95,77,50,14,22,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,395,164,0,19,0,19,109,115,0,19,0,19,0,19,0,19,0,19,27,45,18,31,23,38,76,62,69,63,73,62,213,128,0,19,0,19,0,19,0,19,32,52,0,19,0,19,28,45,25,44,16,25,40,54,56,61,16,27,0,19
14000US32003000101,"Census Tract 1.01, Clark, NV",5458,782,2899,452,1414,298,119,71,143,135,355,130,276,136,185,96,79,85,117,78,0,19,57,57,21,25,25,30,35,40,2,6,0,19,1147,276,969,228,0,19,0,19,9,14,64,52,28,28,53,47,173,121,135,79,169,74,76,45,136,110,84,47,42,37,0,19,178,141,39,44,0,19,0,19,0,19,0,19,0,19,20,34,0,19,0,19,0,19,0,19,19,29,0,19,0,19,0,19,139,138,0,19,0,19,0,19,0,19,0,19,0,19,0,19,28,44,84,125,10,16,4,6,0,19,13,21,0,19,127,86,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,25,31,38,29,22,18,42,63,211,87,0,19,0,19,0,19,9,16,22,33,0,19,18,30,46,43,0,19,61,47,8,14,29,23,18,19,0,19,2559,459,837,234,147,107,76,86,319,115,117,73,36,39,20,27,24,40,31,32,0,19,44,42,15,18,8,14,0,19,0,19,1115,222,866,175,0,19,0,19,7,12,35,39,53,38,101,70,140,84,157,88,47,37,154,91,57,42,85,40,30,32,0,19,249,146,125,82,0,19,0,19,0,19,0,19,52,41,0,19,0,19,0,19,40,47,0,19,12,15,0,19,21,37,0,19,124,104,0,19,0,19,0,19,20,34,10,15,0,19,0,19,52,87,0,19,0,19,14,22,28,34,0,19,0,19,148,72,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,16,5,8,22,24,1,2,61,51,49,41,459,268,0,19,0,19,10,17,3,6,0,19,25,29,7,12,81,58,33,38,67,46,194,255,16,18,17,19,6,10
14000US32003000103,"Census Tract 1.03, Clark, NV",4973,653,2707,416,1367,380,139,88,51,76,163,85,150,90,163,92,214,198,107,75,26,31,71,58,46,51,228,212,9,14,0,19,0,19,979,220,751,159,0,19,0,19,7,12,52,63,116,92,32,33,49,40,48,52,158,83,48,46,93,54,90,77,58,40,0,19,228,129,54,55,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,12,24,41,22,35,0,19,0,19,0,19,0,19,174,103,0,19,0,19,14,22,14,22,22,35,0,19,31,49,30,47,21,33,30,47,0,19,12,18,0,19,0,19,46,42,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,33,38,13,19,0,19,0,19,0,19,315,139,0,19,0,19,0,19,57,59,0,19,14,23,43,47,19,29,20,33,100,94,0,19,41,33,21,22,0,19,2266,398,713,269,58,45,36,34,170,111,69,48,124,71,65,69,24,37,33,41,9,16,0,19,125,148,0,19,0,19,0,19,845,185,688,146,0,19,0,19,0,19,115,79,37,55,58,45,9,15,148,84,71,62,83,58,54,39,21,33,75,55,17,27,157,89,11,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,11,17,0,19,0,19,0,19,146,87,0,19,0,19,0,19,0,19,44,52,0,19,18,28,38,46,16,30,10,15,20,30,0,19,0,19,0,19,266,105,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,7,11,0,19,9,16,177,97,64,52,9,14,442,191,0,19,0,19,31,35,0,19,32,35,73,66,21,31,18,21,30,36,60,60,52,46,96,148,28,47,1,2
14000US32003000105,"Census Tract 1.05, Clark, NV",3079,679,1527,253,676,193,28,27,56,52,123,82,158,111,70,57,54,51,9,14,45,48,68,113,0,13,32,32,0,13,33,35,0,13,588,153,571,155,0,13,0,13,0,13,6,9,62,66,67,48,0,13,156,120,83,44,30,28,58,55,85,43,24,24,0,13,17,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,24,0,13,0,13,17,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,59,44,0,13,0,13,0,13,0,13,0,13,0,13,14,21,20,31,0,13,0,13,0,13,8,13,17,18,0,13,204,109,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,60,17,25,51,53,42,54,48,53,0,13,7,11,1552,522,656,361,166,172,14,16,233,183,45,48,69,69,17,20,45,39,18,28,28,27,4,6,12,19,5,17,0,13,0,13,675,195,590,196,0,13,0,13,0,13,44,47,74,61,78,51,39,34,61,55,160,163,24,24,27,30,77,43,6,9,0,13,85,69,50,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,24,39,0,13,9,14,0,13,0,13,17,26,0,13,35,44,0,13,0,13,12,21,0,13,23,40,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,160,78,0,13,0,13,0,13,0,13,0,13,0,13,19,27,0,13,0,13,34,55,0,13,16,20,41,39,50,46,61,42,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,19,0,13,28,26,10,14,11,18
